Feature,P-Value (Train vs Test),P-Value (Train vs Val),Drift Test,Drift Val
ma_20,6.6e-322,0.0,Yes,Yes
ma_5,6.9e-322,0.0,Yes,Yes
ma_50,5.8e-322,0.0,Yes,Yes
bb_middle,6.6e-322,0.0,Yes,Yes
bb_upper,4.6e-322,0.0,Yes,Yes
bb_lower,8.6e-322,0.0,Yes,Yes
atr_14,1.108560050711987e-233,1.0768766086869876e-229,Yes,Yes
daily_range,4.034802383890751e-129,1.958698743433677e-120,Yes,Yes
volatility_20,1.3206094571255875e-119,8.102753321707919e-83,Yes,Yes
volatility_5,1.228985024145967e-71,1.518769226441356e-54,Yes,Yes
macd_signal,7.2188327762225825e-25,2.1606509706955598e-19,Yes,Yes
macd,2.1081545139691915e-23,1.0689242141302935e-14,Yes,Yes
volume_ma_20,2.696038595937879e-46,4.486497456775009e-12,Yes,Yes
atr_pct,5.131018240791979e-87,4.5763753688744486e-11,Yes,Yes
range_pct,7.005587194607084e-45,2.9254667093182996e-09,Yes,Yes
macd_hist,3.520618871569634e-16,2.1534574926966643e-08,Yes,Yes
momentum_10,4.6789655744498196e-15,5.555386688922836e-08,Yes,Yes
slope_5,6.329009672044637e-14,4.1149348581189816e-07,Yes,Yes
momentum_5,6.329009672044637e-14,4.1149348581189816e-07,Yes,Yes
rsi_30,0.08936433714975218,4.08543520016515e-06,No,Yes
accel_5,1.1863462299675862e-09,4.428278367917887e-06,Yes,Yes
volume_ma_5,2.8038211624279833e-30,2.579246852017399e-05,Yes,Yes
dist_ma_20,9.697173451221368e-07,0.00030136779156853644,Yes,Yes
bb_position,0.4621373978183247,0.00040799574727365374,No,Yes
rsi_14,0.154705638022595,0.001579705426347312,No,Yes
close_to_low,1.9584780269347272e-10,0.0024835182158432253,Yes,Yes
close_to_high,7.307557016802731e-16,0.008323492922773144,Yes,Yes
return_20d,8.92690020646939e-09,0.01171454116675346,Yes,Yes
return_5d,4.628357586465286e-05,0.04700002544767799,Yes,Yes
dist_ma_5,0.002117233919298815,0.1192981117500579,Yes,No
volume_ratio,0.5143638447257383,0.1870947579015453,No,No
return_1d,0.0023710307288093225,0.22602679642644852,Yes,No
